"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1480","Navigation from login page to registration page","LMS system","Sat Feb 28 10:45:45 UTC 2026","passed","Sat Feb 28 10:45:47 UTC 2026","Authorization","Authentication","",""
"","2128","User login with wrong email or password","LMS system","Sat Feb 28 10:45:41 UTC 2026","passed","Sat Feb 28 10:45:43 UTC 2026","Authorization","Authentication","",""
"","1816","User login with wrong email or password","LMS system","Sat Feb 28 10:45:43 UTC 2026","passed","Sat Feb 28 10:45:45 UTC 2026","Authorization","Authentication","",""
"","1349","Check displaying of empty courses list","LMS system","Sat Feb 28 10:45:48 UTC 2026","passed","Sat Feb 28 10:45:50 UTC 2026","Courses","Courses","",""
"","1764","Check displaying of dashboard page","LMS system","Sat Feb 28 10:45:52 UTC 2026","passed","Sat Feb 28 10:45:54 UTC 2026","Dashboard","Dashboard","",""
"","1521","User login with wrong email or password","LMS system","Sat Feb 28 10:45:44 UTC 2026","passed","Sat Feb 28 10:45:46 UTC 2026","Authorization","Authentication","",""
"","2672","test_edit_course[chromium]","LMS system","Sat Feb 28 10:45:50 UTC 2026","passed","Sat Feb 28 10:45:53 UTC 2026","Courses","Courses","",""
"","1677","Registration with correct email, username and password","LMS system","Sat Feb 28 10:45:46 UTC 2026","passed","Sat Feb 28 10:45:48 UTC 2026","Registration","Authentication","",""
"","2187","Create course","LMS system","Sat Feb 28 10:45:49 UTC 2026","passed","Sat Feb 28 10:45:52 UTC 2026","Courses","Courses","",""
"","3091","User login with correct email and password","LMS system","Sat Feb 28 10:45:41 UTC 2026","passed","Sat Feb 28 10:45:44 UTC 2026","Authorization","Authentication","",""
