"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 18:16:02 GMT 2025","Mon Oct 06 18:16:05 GMT 2025","2393","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Oct 06 18:15:58 GMT 2025","Mon Oct 06 18:15:59 GMT 2025","1379","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Oct 06 18:15:59 GMT 2025","Mon Oct 06 18:16:01 GMT 2025","1624","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Oct 06 18:15:56 GMT 2025","Mon Oct 06 18:15:58 GMT 2025","1584","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 18:15:54 GMT 2025","Mon Oct 06 18:15:56 GMT 2025","1931","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 18:16:02 GMT 2025","Mon Oct 06 18:16:05 GMT 2025","2781","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Mon Oct 06 18:15:57 GMT 2025","Mon Oct 06 18:15:59 GMT 2025","1519","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 18:15:54 GMT 2025","Mon Oct 06 18:15:57 GMT 2025","3212","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Oct 06 18:16:01 GMT 2025","Mon Oct 06 18:16:02 GMT 2025","1376","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Oct 06 18:16:05 GMT 2025","Mon Oct 06 18:16:07 GMT 2025","1672","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
