"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 17:04:47 GMT 2025","Thu Oct 09 17:04:49 GMT 2025","1738","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 17:04:51 GMT 2025","Thu Oct 09 17:04:52 GMT 2025","1335","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Oct 09 17:04:53 GMT 2025","Thu Oct 09 17:04:55 GMT 2025","2663","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Thu Oct 09 17:04:46 GMT 2025","Thu Oct 09 17:04:48 GMT 2025","1700","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 17:04:48 GMT 2025","Thu Oct 09 17:04:49 GMT 2025","1421","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Oct 09 17:04:44 GMT 2025","Thu Oct 09 17:04:46 GMT 2025","2001","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 17:04:44 GMT 2025","Thu Oct 09 17:04:47 GMT 2025","3005","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 09 17:04:55 GMT 2025","Thu Oct 09 17:04:57 GMT 2025","1668","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 09 17:04:52 GMT 2025","Thu Oct 09 17:04:55 GMT 2025","2388","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Oct 09 17:04:49 GMT 2025","Thu Oct 09 17:04:51 GMT 2025","1652","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
