"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 19:31:19 GMT 2025","Tue Oct 07 19:31:21 GMT 2025","2647","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Oct 07 19:31:27 GMT 2025","Tue Oct 07 19:31:29 GMT 2025","1883","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Oct 07 19:31:21 GMT 2025","Tue Oct 07 19:31:22 GMT 2025","1518","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 19:31:19 GMT 2025","Tue Oct 07 19:31:20 GMT 2025","1756","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 19:31:31 GMT 2025","Tue Oct 07 19:31:32 GMT 2025","1719","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 07 19:31:23 GMT 2025","Tue Oct 07 19:31:24 GMT 2025","1143","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 07 19:31:26 GMT 2025","Tue Oct 07 19:31:29 GMT 2025","2279","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Oct 07 19:31:25 GMT 2025","Tue Oct 07 19:31:26 GMT 2025","1190","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Oct 07 19:31:22 GMT 2025","Tue Oct 07 19:31:27 GMT 2025","5030","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 19:31:29 GMT 2025","Tue Oct 07 19:31:32 GMT 2025","2557","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
