"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 15:24:42 GMT 2025","Thu Oct 09 15:24:45 GMT 2025","2734","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Thu Oct 09 15:24:37 GMT 2025","Thu Oct 09 15:24:39 GMT 2025","1702","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Oct 09 15:24:44 GMT 2025","Thu Oct 09 15:24:46 GMT 2025","1785","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 09 15:24:32 GMT 2025","Thu Oct 09 15:24:36 GMT 2025","3491","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 09 15:24:41 GMT 2025","Thu Oct 09 15:24:42 GMT 2025","1422","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Oct 09 15:24:32 GMT 2025","Thu Oct 09 15:24:35 GMT 2025","2320","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 15:24:35 GMT 2025","Thu Oct 09 15:24:37 GMT 2025","1707","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 15:24:38 GMT 2025","Thu Oct 09 15:24:40 GMT 2025","1641","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Oct 09 15:24:41 GMT 2025","Thu Oct 09 15:24:43 GMT 2025","2030","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Oct 09 15:24:36 GMT 2025","Thu Oct 09 15:24:38 GMT 2025","1541","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
