"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 17:05:39 GMT 2025","Thu Oct 09 17:05:42 GMT 2025","2989","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 09 17:05:44 GMT 2025","Thu Oct 09 17:05:45 GMT 2025","1348","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Oct 09 17:05:44 GMT 2025","Thu Oct 09 17:05:46 GMT 2025","1640","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Oct 09 17:05:48 GMT 2025","Thu Oct 09 17:05:51 GMT 2025","2670","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Thu Oct 09 17:05:47 GMT 2025","Thu Oct 09 17:05:48 GMT 2025","1294","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Oct 09 17:05:43 GMT 2025","Thu Oct 09 17:05:44 GMT 2025","1526","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 17:05:48 GMT 2025","Thu Oct 09 17:05:50 GMT 2025","1980","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Oct 09 17:05:39 GMT 2025","Thu Oct 09 17:05:41 GMT 2025","2013","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 17:05:50 GMT 2025","Thu Oct 09 17:05:52 GMT 2025","1697","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 09 17:05:42 GMT 2025","Thu Oct 09 17:05:43 GMT 2025","1709","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
