"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 21:09:45 GMT 2025","Tue Oct 07 21:09:47 GMT 2025","1358","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Oct 07 21:09:38 GMT 2025","Tue Oct 07 21:09:41 GMT 2025","3140","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Oct 07 21:09:40 GMT 2025","Tue Oct 07 21:09:42 GMT 2025","1817","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 21:09:47 GMT 2025","Tue Oct 07 21:09:50 GMT 2025","2755","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Tue Oct 07 21:09:42 GMT 2025","Tue Oct 07 21:09:44 GMT 2025","1327","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 07 21:09:49 GMT 2025","Tue Oct 07 21:09:51 GMT 2025","1746","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 07 21:09:47 GMT 2025","Tue Oct 07 21:09:49 GMT 2025","2245","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Oct 07 21:09:38 GMT 2025","Tue Oct 07 21:09:40 GMT 2025","1935","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 21:09:41 GMT 2025","Tue Oct 07 21:09:43 GMT 2025","1596","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 21:09:43 GMT 2025","Tue Oct 07 21:09:45 GMT 2025","1588","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
