"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 15:49:05 GMT 2025","Thu Oct 09 15:49:07 GMT 2025","1719","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 09 15:49:03 GMT 2025","Thu Oct 09 15:49:06 GMT 2025","2968","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Thu Oct 09 15:48:59 GMT 2025","Thu Oct 09 15:49:00 GMT 2025","1650","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Oct 09 15:48:53 GMT 2025","Thu Oct 09 15:48:55 GMT 2025","2006","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 15:49:01 GMT 2025","Thu Oct 09 15:49:02 GMT 2025","1325","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Oct 09 15:48:56 GMT 2025","Thu Oct 09 15:48:58 GMT 2025","1858","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 15:48:57 GMT 2025","Thu Oct 09 15:48:58 GMT 2025","1577","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Oct 09 15:48:53 GMT 2025","Thu Oct 09 15:48:56 GMT 2025","3004","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 09 15:48:58 GMT 2025","Thu Oct 09 15:48:59 GMT 2025","1434","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Oct 09 15:49:02 GMT 2025","Thu Oct 09 15:49:05 GMT 2025","2804","LMS system","Courses","Courses","","","Create course",""
