"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 16:33:51 GMT 2025","Mon Oct 06 16:33:54 GMT 2025","2996","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Oct 06 16:33:54 GMT 2025","Mon Oct 06 16:33:55 GMT 2025","1673","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 16:33:59 GMT 2025","Mon Oct 06 16:34:01 GMT 2025","2026","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Oct 06 16:33:58 GMT 2025","Mon Oct 06 16:34:00 GMT 2025","1273","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Oct 06 16:33:55 GMT 2025","Mon Oct 06 16:33:57 GMT 2025","1333","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Mon Oct 06 16:33:51 GMT 2025","Mon Oct 06 16:33:53 GMT 2025","2057","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 16:33:55 GMT 2025","Mon Oct 06 16:33:56 GMT 2025","1469","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Oct 06 16:33:56 GMT 2025","Mon Oct 06 16:33:58 GMT 2025","1503","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Oct 06 16:34:00 GMT 2025","Mon Oct 06 16:34:02 GMT 2025","2536","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Mon Oct 06 16:34:02 GMT 2025","Mon Oct 06 16:34:03 GMT 2025","1603","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
