"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 20:00:04 GMT 2025","Tue Oct 07 20:00:06 GMT 2025","2589","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Tue Oct 07 19:59:59 GMT 2025","Tue Oct 07 20:00:00 GMT 2025","1456","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 07 19:59:57 GMT 2025","Tue Oct 07 19:59:59 GMT 2025","1772","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 19:59:55 GMT 2025","Tue Oct 07 19:59:57 GMT 2025","1961","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 19:59:58 GMT 2025","Tue Oct 07 20:00:00 GMT 2025","1606","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 20:00:00 GMT 2025","Tue Oct 07 20:00:01 GMT 2025","1605","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Oct 07 20:00:02 GMT 2025","Tue Oct 07 20:00:03 GMT 2025","1306","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Oct 07 19:59:55 GMT 2025","Tue Oct 07 19:59:57 GMT 2025","2880","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Oct 07 20:00:06 GMT 2025","Tue Oct 07 20:00:07 GMT 2025","1721","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 07 20:00:03 GMT 2025","Tue Oct 07 20:00:05 GMT 2025","2110","LMS system","Courses","Courses","","","Create course",""
